Artist_name,Album name,Track title,Track number,Lyric,Line number,Year
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Live and sin ,1,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,"Ten years ago on this day, my heart was yearning ",2,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,I promised I would never ever be returning ,3,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Where my baby broke my heart and left me yearning ,4,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,"As we walked into the room, there were faces ",5,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,"Staring, glaring, tearing through me ",6,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Someone said welcome to your doom ,7,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Then they smiled with eyes that looked as if they knew me ,8,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,This is scaring me ,9,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,We walked up the stairs still concealing gloom ,10,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,There were two girls sitting in My room ,11,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,She walked up to my face ,12,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,And said this is the place ,13,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,You said meet you right here at noon ,14,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,15,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,16,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,17,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,18,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Hope is dead ,19,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,She thought that I had cheated for another lover ,20,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,I turn my back to see that I am undercover ,21,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Now I can`t convince this girl there ain`t no other ,22,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Someone`s evil to hurt my soul ,23,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Every smile`s trial thought in beguile ,24,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,To hurt me ,25,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Then the man next door had told ,26,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,He`s been here in tears for fifteen years ,27,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,This is scaring me ,28,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,"We came to this place, where the vicious dwell ",29,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,And found that wicked women run this strange hotel ,30,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,"There was Sefra and Sue, ",31,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Every girl that I knew ,32,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,And my baby said love is through ,33,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,34,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,35,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel ,36,2017
Michael Jackson,Michael Jackson Scream,This Place Hotel,1,Heartbreak hotel,37,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Ahahahahahahahaha,1,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,It's close to midnight,2,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Something evil's lurking from the dark,3,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Under the moonlight,4,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You see a sight that almost stops your heart,5,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You try to scream,6,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,But terror takes the sound before you make it,7,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You start to freeze,8,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,As horror looks you right between your eyes,9,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You're paralyzed,10,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,11,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Thriller night,12,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And no one’s gonna save you,13,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,From the beast about to strike,14,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You know it’s thriller,15,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Thriller night,16,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You’re fighting for your life,17,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,"Inside a killer thriller tonight, yeah",18,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Ahahahahahahahaha,19,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna bring it tonight,20,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Ahahahahahahahaha,21,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You hear the door slam,22,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And realize there's nowhere left to run,23,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You feel the cold hand,24,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And wonder if you'll ever see the sun,25,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You close your eyes,26,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And hope that this is just imagination,27,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Girl but all the while,28,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You hear a creature creeping up behind,29,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You're out of time,30,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,31,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Thriller night,32,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And no one’s gonna save you,33,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,From the beast about to strike,34,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You know it’s thriller,35,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Thriller night,36,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,You’re fighting for your life,37,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Inside a killer thriller tonight,38,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Ahahahahahahahaha,39,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill ya tonight,40,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,"Get up, get up",41,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Darkness falls across the land,42,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,The midnight hour is close at hand,43,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Creatures crawl in search of blood,44,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,To terrorize y'all's neighborhood,45,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And whosoever shall be found,46,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Without the soul for getting down,47,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,Must stand and face the hounds of hell,48,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,And rot inside a corpse's shell,49,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill ya tonight ,50,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill ya tonight ,51,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,"Ooh, babe",52,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill ya tonight,53,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,54,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,55,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,56,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,57,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,"Get up, get up (I'm gonna thrill you tonight)",58,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill you tonight,59,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill you tonight,60,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,I'm gonna thrill you tonight,61,2017
Michael Jackson,Michael Jackson Scream,Thriller,2,'Cause this is thriller,62,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,She got your number,1,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,She know your game,2,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,She put you under,3,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,It's so insane,4,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Since you seduced her,5,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,How does it feel,6,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,To know that woman,7,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Is out to kill,8,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Every night stance is like taking a chances,9,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,It's not about love and romance,10,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And now you're going to get it,11,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Every hot man is out taking a chance,12,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,It's not about love and romance,13,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And now you do regret it,14,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,To escape the world I've got to enjoy that simple dance,15,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And it seemed that everything was on my side,16,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,(Blood on my side),17,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,She seemed sincere like it was love and true romance,18,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And now she's out to get me,19,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And I just can't take it,20,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Just can't break it,21,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Susie got your number,22,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,And Susie ain’t your friend,23,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,Look who took you under,24,2017
Michael Jackson,Michael Jackson Scream,Blood on The Dance Floor,3,With seven inches in,25,2017
